unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1632270180,2021-09-22 00:23:00,BTC/USD,41192.17,41192.17,41093.90,41095.73,0.47617069,19568.5821101537
1632270120,2021-09-22 00:22:00,BTC/USD,41185.72,41256.32,41185.72,41233.32,0.09886127,4076.3783815164
1632270060,2021-09-22 00:21:00,BTC/USD,41184.56,41250.84,41172.84,41180.00,0.96926824,39914.4661232
1632270000,2021-09-22 00:20:00,BTC/USD,41086.54,41171.88,41086.54,41171.88,0.39040673,16073.779038752398
1632269940,2021-09-22 00:19:00,BTC/USD,41203.72,41244.75,41199.46,41199.46,1.61908286,66705.3395272556
1632269880,2021-09-22 00:18:00,BTC/USD,41122.81,41215.37,41122.81,41163.07,0.80245899,33031.6755774993
1632269820,2021-09-22 00:17:00,BTC/USD,41140.69,41209.33,41118.99,41175.06,3.55610000,146422.630866
1632269760,2021-09-22 00:16:00,BTC/USD,41260.00,41260.00,41115.14,41120.00,31.83651338,1309117.4301856
1632269700,2021-09-22 00:15:00,BTC/USD,41316.75,41326.76,41279.00,41288.74,2.37518913,98068.56643939619
1632269640,2021-09-22 00:14:00,BTC/USD,41385.61,41445.44,41329.36,41345.84,4.36709515,180561.217336676
1632269580,2021-09-22 00:13:00,BTC/USD,41260.63,41500.00,41260.63,41448.06,3.51235289,145580.2133258934
1632269520,2021-09-22 00:12:00,BTC/USD,41179.92,41299.95,41179.92,41275.13,15.42969439,636862.6418075206
1632269460,2021-09-22 00:11:00,BTC/USD,41212.64,41241.96,41153.68,41176.53,1.86554796,76816.7915413788
1632269400,2021-09-22 00:10:00,BTC/USD,41037.30,41249.50,41028.99,41234.63,1.86917002,77074.5341817926
1632269340,2021-09-22 00:09:00,BTC/USD,40850.11,41037.30,40850.11,40981.92,7.38406993,302613.36314566556
1632269280,2021-09-22 00:08:00,BTC/USD,40825.80,40895.30,40819.43,40866.66,1.76070871,71954.2842106086
1632269220,2021-09-22 00:07:00,BTC/USD,40851.47,40885.37,40835.39,40835.39,0.09255194,3779.3945651566
1632269160,2021-09-22 00:06:00,BTC/USD,40889.66,40889.68,40738.46,40778.85,1.71633705,69990.2511113925
1632269100,2021-09-22 00:05:00,BTC/USD,40959.93,41016.44,40857.22,40857.22,3.03878944,124156.4886837568
1632269040,2021-09-22 00:04:00,BTC/USD,40922.48,40979.90,40915.58,40979.90,2.28001049,93434.601879151
1632268980,2021-09-22 00:03:00,BTC/USD,40868.99,40998.94,40798.83,40923.11,0.83829879,34305.7935960369
1632268920,2021-09-22 00:02:00,BTC/USD,40614.44,40864.15,40614.44,40864.15,1.16901402,47770.764265383004
1632268860,2021-09-22 00:01:00,BTC/USD,40679.47,40725.77,40583.95,40617.64,1.42062262,57702.338155016805
1632268800,2021-09-22 00:00:00,BTC/USD,40702.07,40804.51,40647.27,40647.27,0.61713220,25084.739159094
1632268740,2021-09-21 23:59:00,BTC/USD,40699.60,40699.60,40596.54,40596.54,1.69585662,68845.9111080948
1632268680,2021-09-21 23:58:00,BTC/USD,40531.97,40709.95,40492.32,40709.95,4.05403547,165039.58128192648
1632268620,2021-09-21 23:57:00,BTC/USD,40602.77,40602.77,40499.48,40529.93,0.99990705,40526.1627430065
1632268560,2021-09-21 23:56:00,BTC/USD,40601.22,40604.39,40553.84,40553.84,2.47279951,100281.5156806184
